INDIKATOR_ID;INDIKATOR_NAME;INDICATOR_NAME_EN;EINHEIT_LANG (UNIT);QUELLE;BESCHREIBUNG;DESCRIPTION_EN
93;Steuerfuss;Tax rate;Prozent;Steueramt Kanton St.Gallen ;Steuerfuss im Kanton St.Gallen für natürliche Personen ohne Kirchensteuer. Bei Gemeindefusionen wird für die Jahre vor der Fusion ein bevölkerungsgewichteter durchschnittlicher Steuerfuss auf Basis der Steuerfüsse der fusionierten Gemeinden berechnet.  ;Tax rate in the canton of St.Gallen for natural persons without church tax. In the case of municipal mergers, a population-weighted average tax rate is calculated on the basis of the tax rates of the merged municipalities for the years prior to the merger.
94;Steuerbelastung verheiratetes Paar 2/80;Tax burden for married couple 2/80;Prozent;Eidgenössische Steuerverwaltung ;Durchschnittliche Steuerbelastung durch Kantons-, Gemeinde- und Kirchensteuern in Prozenten des Bruttoarbeitseinkommens für ein verheiratetes Paar mit zwei Kindern bei einem Bruttoeinkommen von 80'000 Fr. pro Jahr. Bei den NRP-Regionen werden die Gemeinden ausserhalb des Kantons St.Gallen nicht berücksichtigt.  ;Average tax burden from cantonal, communal and church taxes as a percentage of the gross earned income for a married couple with two children with a gross income of CHF 80,000 per year. The municipalities outside the canton of St.Gallen are not included in the NRP regions.
95;Steuerbelastung verheiratetes Paar 2/150;Tax burden for married couple 2/150;Prozent;Eidgenössische Steuerverwaltung ;Durchschnittliche Steuerbelastung durch Kantons-, Gemeinde- und Kirchensteuern in Prozenten des Bruttoarbeitseinkommens für ein verheiratetes Paar mit zwei Kindern bei einem Bruttoeinkommen von 150'000 Fr. pro Jahr. Bei den NRP-Regionen werden die Gemeinden ausserhalb des Kantons St.Gallen nicht berücksichtigt. ;Average tax burden from cantonal, communal and church taxes as a percentage of the gross earned income for a married couple with two children with a gross income of CHF 150,000 per year. The municipalities outside the canton of St.Gallen are not included in the NRP regions.
96;Steuerkraft;Control force;Index;Steueramt Kanton St.Gallen;Die Steuerkraft einer Gemeinde ist definiert als derjenige Steuerertrag seitens der natürlichen (vor 2009 excl. Quellensteuerpflichtige) und juristischen Personen pro Kopf der ständigen Wohnbevölkerung, den sie bei einem hypothetischen Steuerfuss von 100 Prozent erzielen würde. Der Index wird wie folgt berechnet: Der kantonale Durchschnittswert wird als 100 gesetzt. Die Werte der Gemeinden werden relativ zu 100 gebildet. Ein Wert von 110 bedeutet, dass die Steuerkraft um 10 Prozent höher liegt als der kantonale Durchschnitt. Bei Gemeindefusionen wird für die Jahre vor der Fusion die bevölkerungsgewichtete durchschnittliche Steuerkraft auf Basis der Steuerkraft der fusionierten Gemeinden berechnet.  Die tatsächlichen Steuereinnahmen sind, abhängig vom geltenden Steuerfuss, höher oder tiefer als die Steuerkraft. Die Normierung erlaubt es, die finanziellen Ressourcen der Gemeinden miteinander zu vergleichen. ;The tax power of a municipality is defined as the tax income per capita of the permanent resident population on the part of natural (prior to 2009 excl. Withholding taxpayers) and legal persons that they would achieve with a hypothetical tax rate of 100 percent. The index is calculated as follows: The cantonal average is set as 100. The values ??of the communities are formed relative to 100. A value of 110 means that the taxpayer is 10 percent higher than the cantonal average. In the case of municipal mergers, the population-weighted average tax strength is calculated on the basis of the tax strength of the merged municipalities for the years prior to the merger. The actual tax revenues are, depending on the applicable tax rate, higher or lower than the tax rate. The standardization allows the financial resources of the municipalities to be compared with one another.
433;Steuerkraft;Control force;Franken pro Einwohner/-in;"Kantonales Steueramt; Bundesamt für Statistik ESPOP/STATPOP";Die Steuerkraft einer Gemeinde ist definiert als derjenige Steuerertrag seitens der natürlichen (vor 2009 excl. Quellensteuerpflichtige) und juristischen Personen pro Kopf der ständigen Wohnbevölkerung, den sie bei einem hypothetischen Steuerfuss von 100 Prozent erzielen würde. Bei Gemeindefusionen wird für die Jahre vor der Fusion die bevölkerungsgewichtete durchschnittliche Steuerkraft auf Basis der Steuerkraft der fusionierten Gemeinden berechnet.  Die tatsächlichen Steuereinnahmen sind, abhängig vom geltenden Steuerfuss, höher oder tiefer als die Steuerkraft.;The tax power of a municipality is defined as the tax income on the part of natural (prior to 2009 excluding withholding tax) and legal persons per capita of the permanent resident population that they would achieve with a hypothetical tax rate of 100 percent. In the case of municipal mergers, the population-weighted average tax strength is calculated on the basis of the tax strength of the merged municipalities for the years prior to the merger. The actual tax revenues are, depending on the applicable tax rate, higher or lower than the tax rate.
456;Gemeindebeiträge Öffentlicher Verkehr gemäss GöV;Community contributions to public transport in accordance with GöV;Franken;Amt für öffentlichen Verkehr ;Gemäss dem kantonalen Gesetz über den öffentlichen Verkehr (GöV) beteiligen sich die Gemeinden zur Hälfte an den Beiträgen, die der Kanton im Zusammenhang mit dem Regionalen Personenverkehr (RPV) und dem Ortsverkehr (OV) ausbezahlt. Die Berechnung des jeweiligen Gemeindeanteils am Gesamtbetrag erfolgt anhand der Erschliessung (Gewichtung zu 3/4) und der Einwohnerzahl (Gewichtung zu 1/4). Die Erschliessung wird anhand der Anzahl Abfahrten an den Haltestellen der Standortgemeinde während eines Fahrplanjahres gemessen. Die verschiedenen Verkehrsmittel werden dabei unterschiedlich gewichtet. Die Zeitreihe der Gemeindebeiträge weist im Jahr 2016 einen Bruch auf, da verschiedene Änderungen in der Berechnung der Gemeindebeiträge erfolgten. Die Änderungen führten zu einer Steigerung der Gemeindebeiträge um insgesamt rund 10 Millionen Franken. Die wichtigsten Änderungen ab 2016 kurz zusammengefasst:  • Der gesamte Ortsverkehr wird neu durch den Kanton bestellt. Vor 2016 wurde ausschliesslich der Ortsverkehr mit regionaler Bedeutung einbezogen. Dies führt bei den Städten zu einer massiven Steigerung der Beiträge. Im Gegenzug leisten sie aber keine direkte Abgeltungen mehr an die Transportunternehmen.  • Der nationale Bahninfrastrukturfonds BIF kommt als zusätzliche Aufwandposition hinzu.  • Die Gewichtungen der Erschliessungstypen (z.B. IC, S-Bahn, Regionalbuslinie,…) wurden im Rahmen der neuen kantonalen öV-Gesetzgebung angepasst.  • Schliesslich sind die Bahnabfahrten bei grenznahen Bahnhöfen vermehrt auf verschiedene Gemeinden verteilt worden. Dies führte bei einzelnen Gemeinden zu einer Beitragsreduktion.  ;According to the cantonal law on public transport (GöV), the municipalities contribute half of the contributions that the canton pays out in connection with regional passenger transport (RPV) and local transport (OV). The calculation of the municipality's share of the total amount is based on the development (weighting to 3/4) and the number of inhabitants (weighting to 1/4). The development is measured on the basis of the number of departures at the stops in the local community during a timetable year. The different modes of transport are weighted differently. The time series of community contributions shows a break in 2016, as various changes were made to the calculation of the community contributions. The changes led to an increase in community contributions by a total of around 10 million francs. The most important changes from 2016 in brief: • All local traffic will be ordered by the canton. Before 2016, only local traffic with regional significance was included. This leads to a massive increase in contributions for the cities. In return, however, they no longer make direct payments to the transport company. • The national rail infrastructure fund BIF is added as an additional expense item. • The weightings of the types of access (eg IC, S-Bahn, regional bus line, ...) have been adjusted within the framework of the new cantonal public transport legislation. • Finally, the train departures at train stations close to the border have increasingly been distributed among different communities. This led to a reduction in contributions for individual municipalities.
457;Gemeindebeiträge Öffentl. Verkehr gemäss GöV;Community contributions public. Traffic according to GöV;Franken pro Einwohner/-in;"Amt für öffentlichen Verkehr; Bundesamt für Statistik STATPOP";Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. Bruttoertrag aus Kulturförderung, Denkmalpflege, Heimatschutz, Medien, Parkanlagen, Wanderwege, Sport, und übrige Freizeitgestaltung. ;The permanent resident population is used to calculate the per capita values. Gross income from cultural funding, monument preservation, heritage protection, media, parks, hiking trails, sports and other leisure activities.
1006;Selbstfinanzierungsgrad;Level of self-financing;Prozent;"Amt für Gemeinden Gemeindefinanzstatistik; Berechnung Fachstelle für Statistik SG";Hinweis: Die Kennzahlenwerte für das Jahr 2015 wurden am 21.2.2017 korrigiert.  Der Selbstfinanzierungsgrad gibt den Anteil der Finanzierung der Investitionen aus den erarbeiteten Mitteln wieder. Damit lässt sich aussagen, inwieweit Neuinvestitionen durch selbst erarbeitete Mittel finanziert oder finanziell verkraftet werden können. Berechnungsformel Selbstfinanzieriungsgrad (%): Selbstfinanzierung geteilt durch die Nettoinvestition x 100. Zur 'Selbstfinanzierung' werden gerechnet: Abschreibungen auf Verwaltungsvermögen und  dem Bilanzfehlbetrag, Einlagen in Spezialfinanzierungen minus Entnahmen aus Spezialfinanzierungen, Einlagen in Vorfinanzierungen minus Entnahmen aus Vorfinanzierungen, Ertragsüberschuss oder Aufwandüberschuss. Als Nettoinvestitionen gelten die aktivierten Ausgaben der Investitionsrechnungminus die passivierten Einnahmen der Investitionsrechnung.Verzichtet eine Gemeinde gänzlich auf Investitionen, so kann der Selbstfinanzierungsgrad infolge einer Division durch Null nicht berechnet werden. Der Wert wird anstelle einer Zahl mit drei Sternen gekennzeichnet.  Liegt der Selbstfinanzierungsgrad über 100 Prozent, können Schulden abgebaut werden. Werte über 1000 Prozent deuten auf eine minimale Investitionstätigkeit hin und sind wenig aussagekräftig. Ein Selbstfinanzierungsgrad unter 100 Prozent führt zu einer Neuverschuldung. Werte zwischen 70 und 100 Prozent bedeuten eine moderate Neuverschuldung. Werte unter 70 Prozent weisen auf eine ausserordentlich grosse Neuverschuldung hin. Der Selbstfinanzierungsgrad ist im Zusammenhang mit den Kennzahlen zur Verschuldung (Bruttoverschuldung, Nettoschuld) und dem Investitionsanteil zu analysieren.  Der Selbstfinanzierungsgrad ist finanztechnisch umso positiver zu bewerten, je tiefer die Verschuldungskennzahl ist. Im Umkehrschluss dazu führt eine hohe Verschuldungskennzahl zu einer weniger positiven Bewertung des Selbstfinanzierungsgrads. Der Selbstfinanzierungsgrad ist umso positiver zu bewerten, je höher der Investitionsanteil ist. Im Umkehrschluss dazu führt ein tiefer Investitionsanteil zu einer weniger positiven Bewertung des Selbstfinanzierungsgrads.  ;Note: The key figures for 2015 were corrected on February 21, 2017. The degree of self-financing reflects the proportion of the financing of the investments from the funds developed. It can be used to say to what extent new investments can be financed or financially managed by means of self-generated funds. Calculation formula self-financing degree (%): Self-financing divided by the net investment x 100. For 'self-financing' are calculated: Depreciation on administrative assets and the balance sheet deficit, deposits in special financing minus withdrawals from special financing, deposits in pre-financing minus withdrawals from pre-financing, income surplus or excess expenses. The capitalized expenditures of the investment calculation minus the passivated income of the investment calculation are considered net investments. If a municipality completely waives investments, the self-financing level cannot be calculated due to a division by zero. The value is marked with three stars instead of a number. If the self-financing level is above 100 percent, debts can be reduced. Values ??above 1000 percent indicate minimal investment activity and are not very meaningful. A self-financing rate below 100 percent leads to new borrowing. Values ??between 70 and 100 percent mean moderate new borrowing. Values ??below 70 percent indicate an extraordinarily high level of new debt. The degree of self-financing is to be analyzed in connection with the key figures for debt (gross debt, net debt) and the investment share. The degree of self-financing is to be assessed financially more positively, the lower the debt ratio is. Conversely, a high debt ratio leads to a less positive assessment of the degree of self-financing. The degree of self-financing is to be assessed more positively, the higher the investment share. Conversely, a lower investment share leads to a less positive assessment of the degree of self-financing.
1007;Selbstfinanzierungsanteil;Self-financing share;Prozent;"Amt für Gemeinden Gemeindefinanzstatistik; Berechnung Fachstelle für Statistik SG";Hinweis: Die Kennzahlenwerte für das Jahr 2015 wurden am 21.2.2017 korrigiert.  Der Selbstfinanzierungsanteil ist ein Mass für die Finanzkraft einer Gemeinde. Selbstfinanzieriungsanteil (%) = Selbstfinanzierung/Finanzertrag x 100 Selbstfinanzierung + Abschreibungen auf Verwaltungsvermögen + Abschreibungen auf dem Bilanzfehlbetrag + Einlagen in Spezialfinanzierungen – Entnahmen aus Spezialfinanzierungen + Einlagen in Vorfinanzierungen – Entnahmen aus Vorfinanzierungen + Ertragsüberschuss oder – Aufwandüberschuss Finanzertrag + Ertrag der laufenden Rechnung – Interne Verrechnungen – Entnahmen aus Spezialfinanzierungen – Entnahmen aus Vorfinanzierungen – Finanzbedarf der Schulgemeinden  Unter der Voraussetzung einer durchschnittlichen Verschuldung der Gemeinde deuten Selbstfinanzierungsanteile von über 20 Prozent auf eine sehr hohe, Werte zwischen 10 und 20 Prozent auf eine mittlere Finanzkraft hin. Beträgt der Selbstfinanzierungsanteil weniger als 10 Prozent, so weist die Gemeinde eine schwache Finanzkraft auf, vorausgesetzt, dass es sich um eine überdurchschnittlich verschuldete Gemeinde handelt.  Die Kennzahl spiegelt die Finanzkraft und den finanziellen Spielraum einer Gemeinde wider, denn mit steigendem Selbstfinanzierungsanteil nehmen auch die Möglichkeiten für die Realisierung von Investitionen oder für die Schuldentilgung zu. Ein hoher Wert muss nicht unbedingt positiv interpretiert werden, denn er kann auch auf eine grosse Abschreibungsquote hinweisen.  Der Selbstfinanzierungsanteil ist im Zusammenhang mit den Kennzahlen zur Verschuldung (Bruttoverschuldung, Nettoschuld) zu analysieren. Der Selbstfinanzierungsanteil ist umso positiver zu bewerten, je tiefer die Verschuldung ist. Im Umkehrschluss dazu führt eine hohe Verschuldungskennzahl zu einer weniger positiven Bewertung des Selbstfinanzierungsanteils.  ;Note: The key figures for 2015 were corrected on February 21, 2017. The self-financing share is a measure of the financial strength of a municipality. Self-financing share (%) = self-financing / financial income x 100 self-financing + depreciation on administrative assets + depreciation on the balance sheet deficit + deposits in special financing - withdrawals from special financing + deposits in pre-financing - withdrawals from pre-financing + income surplus or - expense surplus financial income + income from current accounts - internal settlements - Withdrawals from special financing - Withdrawals from pre-financing - Financial requirements of the school communities Assuming an average debt of the community, self-financing shares of over 20 percent indicate very high, values ??between 10 and 20 percent indicate medium financial strength. If the self-financing share is less than 10 percent, the municipality has weak financial strength, provided that it is a municipality with above-average debt. The key figure reflects the financial strength and financial scope of a municipality, because the higher the self-financing share, the greater the opportunities for realizing investments or for repaying debt. A high value does not necessarily have to be interpreted positively, because it can also indicate a high depreciation rate. The self-financing share must be analyzed in connection with the indebtedness indicators (gross debt, net debt). The self-financing share is to be assessed more positively, the lower the debt is. Conversely, a high debt ratio leads to a less positive assessment of the self-financing share.
1008;Kapitaldienstanteil;Debt service portion;Prozent;"Amt für Gemeinden Gemeindefinanzstatistik; Berechnung Fachstelle für Statistik SG";Hinweis: Die Kennzahlenwerte für das Jahr 2015 wurden am 21.2.2017 korrigiert.  Der Kapitaldienstanteil zeigt den Anteil des Finanzertrags, der für die Passivzinsen und Abschreibungen benötigt wird. Er ist ein Indikator für das Ausmass der Verschuldung und des Abschreibungsbedarfes.  Kapitaldienstanteil in (%) = Kapitaldienst/Finanzertrag x 100 Kapitaldienst + Passivzinsen – Vermögenserträge + Aufwand für Liegenschaften des Finanzvermögens + ordentliche Abschreibungen auf dem Verwaltungsvermögen Finanzertrag + Ertrag der laufenden Rechnung – Interne Verrechnungen – Entnahmen aus Spezialfinanzierungen – Entnahmen aus Vorfinanzierungen – Finanzbedarf der Schulgemeinden Kapitaldienstanteile unter 5 Prozent stellen eine tiefe Belastung dar und Werte zwischen 5 bis 15 Prozent sind tragbar. Ein Kapitaldienstanteil von 15 bis 25 Prozent weist auf einen hohen Abschreibungsbedarf und auf eine hohe Verschuldung hin. Ein Wert über 25 Prozent ist kaum tragbar.  Eine steigende Kennzahlenreihe weist auf eine Einengung der finanziellen Flexibilität, eine sinkende auf eine Ausweitung hin.  Der Kapitaldienstanteil ist im Zusammenhang mit den Kennzahlen zur Verschuldung (Bruttoverschuldung, Nettoschuld) zu analysieren. Gemeinden mit hoher Verschuldung weisen meistens auch einen hohen Kapitaldienstanteil auf. Auch auf tiefem Niveau ist die Übereinstimmung der Kennzahlenwerte oft feststellbar. Der Kapitaldienstanteil ist umso positiver zu bewerten, je höher die Verschuldung ist. Im Umkehrschluss dazu führt eine tiefe Verschuldungskennzahl zu einer weniger positiven Bewertung des Kapitaldienstanteils.  ;Note: The key figures for 2015 were corrected on February 21, 2017. The debt service portion shows the portion of the financial income that is required for interest payable and depreciation. It is an indicator of the extent of the debt and the need for depreciation. Debt servicing share in (%) = debt servicing / financial income x 100 debt servicing + interest income - investment income + expenses for real estate of the financial assets + ordinary depreciation on administrative assets financial income + income from the current account - internal settlements - withdrawals from special financing - withdrawals from pre-financing - financial requirements of the school communities capital servicing shares less than 5 percent represent a deep burden and values ??between 5 to 15 percent are acceptable. A debt servicing share of 15 to 25 percent indicates a high need for depreciation and a high level of debt. A value above 25 percent is hardly acceptable. An increasing series of indicators indicates a reduction in financial flexibility, a decreasing series indicates an expansion. The debt service portion is to be analyzed in connection with the indebtedness indicators (gross debt, net debt). Municipalities with high levels of debt usually also have a high share of debt servicing. Even at a low level, the correspondence of the key figure values ??can often be determined. The debt service share is to be assessed more positively, the higher the debt. Conversely, a low debt ratio leads to a less positive assessment of the debt service portion.
